, eGRID subregion acronym ,Solar type,mmbtu/mwh
0,AZNM,SOLAR PV,9.296062146811922
1,AZNM,SOLAR THERMAL,6.4325680413193
2,CAMX,SOLAR PV,12.55469151144875
3,CAMX,SOLAR THERMAL,11.784615311013214
4,ERCT,SOLAR PV,9.510012928994689
5,FRCC,SOLAR PV,9.509886859122537
6,HIMS,SOLAR PV,9.51026553473456
7,HIOA,SOLAR PV,9.510114563521585
8,MROW,SOLAR PV,9.510365623822087
9,NEWE,SOLAR PV,10.752215731388542
10,NWPP,SOLAR PV,9.50994893671822
11,NYLI,SOLAR PV,9.51009193564012
12,NYUP,SOLAR PV,10.696283479073859
13,RFCE,SOLAR PV,10.56222891592742
14,RFCW,SOLAR PV,12.219560854329186
15,RFCW,SOLAR THERMAL,11.01782483097726
16,RMPA,SOLAR PV,15.675690298864884
17,SPSO,SOLAR PV,9.510003372265013
18,SRMW,SOLAR PV,9.509921448661252
19,SRSO,SOLAR PV,10.264283699220702
20,SRTV,SOLAR PV,21.50344498836008
21,SRVC,SOLAR PV,11.546812335337195
