OriginalName,NewName
"1,2,4-TRIMETHYLBENZENE","1,2,4-trimethylbenzene"
"1,4-DIOXANE","1,4-DIOXANE"
N-METHYL-2-PYRROLIDONE,1-Methyl-2-pyrrolidinone
TETRABROMOBISPHENOL A,"2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE"
"2,3-DICHLOROPROPENE","2,3-DICHLOROPROPENE"
DIISOCYANATES,"2,4/2,6-toluenediisocyanate (mixture)"
TOLUENE DIISOCYANATE (MIXED ISOMERS),"2,4/2,6-toluenediisocyanate (mixture)"
CHLOROPHENOLS,2-chlorophenol
2-MERCAPTOBENZOTHIAZOLE,2-Mercaptobenzothiazole
2-PHENYLPHENOL,2-PHENYLPHENOL
3-IODO-2-PROPYNYL BUTYLCARBAMATE,3-Iodo-2-propynyl butylcarbamate
"4,4'-METHYLENEBIS(2-CHLOROANILINE)","4,4'-METHYLENEBIS(2-CHLOROANALINE)"
METHYL ISOBUTYL KETONE,4-Methyl-2-pentanone
FLUOROURACIL,5-FLUOROURACIL
ACETALDEHYDE,Acetaldehyde
ACETONITRILE,Acetonitrile
ACETOPHENONE,Acetophenone
ACROLEIN,Acrolein
ACRYLAMIDE,ACRYLAMIDE
ACRYLIC ACID,Acrylic acid
ACRYLONITRILE,Acrylonitrile
ALUMINUM (FUME OR DUST),Aluminum
ALUMINUM OXIDE (FIBROUS FORMS),ALUMINUM OXIDE
AMETRYN,Ametryn
AMMONIA,AMMONIA
ANILINE,Aniline
ANTHRACENE,Anthracene
ANTIMONY,antimony
ARSENIC,arsenic
ASBESTOS (FRIABLE),Asbestos
ATRAZINE,Atrazine
BARIUM,barium
BENZENE,benzene
ETHYLBENZENE,"Benzene, ethyl-"
HEXACHLOROBENZENE,"Benzene, hexachloro-"
PENTACHLOROBENZENE,"Benzene, pentachloro-"
"BENZO(G,H,I)PERYLENE","Benzo(g,h,i)perylene"
BENZYL CHLORIDE,Benzyl chloride
BIPHENYL,Biphenyl
"4,4'-ISOPROPYLIDENEDIPHENOL",Bisphenol A
"1,3-BUTADIENE",Butadiene
N-BUTYL ALCOHOL,Butanol
BUTYL ACRYLATE,BUTYL ACRYLATE
CADMIUM,Cadmium
CATECHOL,CATECHOL
CHLORINE,CHLORINE
CHLORINE DIOXIDE,CHLORINE
CHLOROFORM,Chloroform
CHROMIUM,chromium
COBALT,Cobalt
COPPER,copper
CREOSOTE,Creosol
CRESOL (MIXED ISOMERS),Cresol
CUMENE,cumene
CUMENE HYDROPEROXIDE,Cumene hydroperoxide
HYDROGEN CYANIDE,Cyanide
CYCLOHEXANE,cyclohexane
DECABROMODIPHENYL OXIDE,Decabromodiphenyl oxide
DIAMINOTOLUENE (MIXED ISOMERS),DIAMINOTOLUENES
DIBENZOFURAN,Dibenzofuran
SODIUM DICAMBA,DICAMBA SODIUM SALT
DICYCLOPENTADIENE,dicyclopentadiene
DIETHANOLAMINE,DIETHANOLAMINE
"N,N-DIMETHYLFORMAMIDE",dimethyl formamide
DIMETHYL SULFATE,Dimethyl sulfate
DIMETHYLAMINE,Dimethylamine
DINITROTOLUENE (MIXED ISOMERS),"Dinitrotoluene, technical grade (2,4 (77%)- and 2,6 (19%)-)"
DIOXIN AND DIOXIN-LIKE COMPOUNDS,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
DIURON,Diuron
EPICHLOROHYDRIN,Epichlorohydrin
"1,1,1-TRICHLOROETHANE","Ethane, 1,1,1-trichloro-, HCFC-140"
"1,2-DICHLOROETHANE","Ethane, 1,2-dichloro-"
ETHYLENE,ETHENE
TETRACHLOROETHYLENE,"Ethene, tetrachloro-"
TRICHLOROETHYLENE,"Ethene, trichloro-"
ETHYLENE GLYCOL,Ethylene glycol
